id;rating;comment;created_at;updated_at;customer_id;studio_id
1;3;../fake-data/blob/hipster.txt;2025-08-19T15:28:34;2025-08-19T19:44:25;1;1
2;2;../fake-data/blob/hipster.txt;2025-08-19T22:19:29;2025-08-19T18:04:35;2;2
3;1;../fake-data/blob/hipster.txt;2025-08-19T16:56:17;2025-08-19T11:33:39;1;3
4;4;../fake-data/blob/hipster.txt;2025-08-19T04:52:51;2025-08-19T15:04:03;1;4
5;5;../fake-data/blob/hipster.txt;2025-08-19T08:29:21;2025-08-19T17:09:01;2;5
6;3;../fake-data/blob/hipster.txt;2025-08-19T10:11:46;2025-08-19T15:22:05;2;6
7;1;../fake-data/blob/hipster.txt;2025-08-19T03:14:48;2025-08-19T04:24:23;2;7
8;1;../fake-data/blob/hipster.txt;2025-08-19T05:33:11;2025-08-19T12:56:13;1;8
9;4;../fake-data/blob/hipster.txt;2025-08-19T03:42:47;2025-08-19T06:34:55;1;9
10;5;../fake-data/blob/hipster.txt;2025-08-19T11:01:42;2025-08-19T13:40:10;1;10
