id;url;alt_text;display_order;active;room_id
1;https://mild-gown.info;bare blah than;5728;true;1
2;https://pricey-cinema.org/;asset whoa;32564;true;2
3;https://hard-to-find-hyphenation.org;muddy;17897;false;3
4;https://actual-stump.org/;meh;22665;false;4
5;https://ornery-puritan.biz;bid clonk spring;7132;true;5
6;https://frequent-doubter.org;overheard;18283;false;6
7;https://dark-thongs.info/;great;758;false;7
8;https://impolite-cod.biz;grade absent;13002;true;8
9;https://gullible-milestone.com/;blah blowgun;10586;true;9
10;https://miserly-ceramics.biz;kookily exalted ha;12261;false;10
